127.0.0.1 - - [07/Dec/2018:12:01:02 +0530] "GET / HTTP/1.1" 404 1036
127.0.0.1 - - [07/Dec/2018:12:01:04 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1255
127.0.0.1 - - [07/Dec/2018:12:01:04 +0530] "GET /FreakyShoesProj/CSSFiles/img_lights.jpg HTTP/1.1" 404 1075
127.0.0.1 - - [07/Dec/2018:12:01:04 +0530] "GET /FreakyShoesProj/CSSFiles/img_snowtops.jpg HTTP/1.1" 404 1077
127.0.0.1 - - [07/Dec/2018:12:01:04 +0530] "GET /FreakyShoesProj/CSSFiles/img_forest.jpg HTTP/1.1" 404 1075
127.0.0.1 - - [07/Dec/2018:12:01:04 +0530] "GET /FreakyShoesProj/CSSFiles/img_mountains.jpg HTTP/1.1" 404 1078
127.0.0.1 - - [07/Dec/2018:12:04:19 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1180
127.0.0.1 - - [07/Dec/2018:12:04:20 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1180
127.0.0.1 - - [07/Dec/2018:12:04:20 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1180
127.0.0.1 - - [07/Dec/2018:12:04:22 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1180
127.0.0.1 - - [07/Dec/2018:12:04:23 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1180
127.0.0.1 - - [07/Dec/2018:12:04:25 +0530] "GET /FreakyShoesProj/CSSFiles/download1.jpg HTTP/1.1" 404 1074
127.0.0.1 - - [07/Dec/2018:12:04:25 +0530] "GET /FreakyShoesProj/CSSFiles/images(1).jpg HTTP/1.1" 404 1074
127.0.0.1 - - [07/Dec/2018:12:04:25 +0530] "GET /FreakyShoesProj/CSSFiles/images.jpg HTTP/1.1" 404 1071
127.0.0.1 - - [07/Dec/2018:12:05:20 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:21 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:21 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:21 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:21 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:22 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:22 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:22 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1252
127.0.0.1 - - [07/Dec/2018:12:05:54 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:05:54 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 200 9759
127.0.0.1 - - [07/Dec/2018:12:05:54 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 200 6884
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:08:40 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:08:52 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:58 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:08:58 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:08:58 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:08:58 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:09:02 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:09:02 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:09:02 +0530] "GET /FreakyShoesProj/images/images(1).jpg HTTP/1.1" 404 1072
127.0.0.1 - - [07/Dec/2018:12:09:02 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:12:09:04 +0530] "GET /FreakyShoesProj/CSSFiles/demo.jsp HTTP/1.1" 200 1123
127.0.0.1 - - [07/Dec/2018:12:09:05 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
